subsector_ssp,mex_sector,mex_subsector,gas,ID,vars
waso,[5] Residuos,[5B] Tratamiento biológico de los residuos sólidos,CH4,[5B] Tratamiento biológico de los residuos sólidos:CH4,emission_co2e_ch4_waso_biogas_food:emission_co2e_ch4_waso_biogas_sludge:emission_co2e_ch4_waso_biogas_yard:emission_co2e_ch4_waso_compost_food:emission_co2e_ch4_waso_compost_sludge:emission_co2e_ch4_waso_compost_yard
waso,[5] Residuos,[5B] Tratamiento biológico de los residuos sólidos,N2O,[5B] Tratamiento biológico de los residuos sólidos:N2O,emission_co2e_n2o_waso_compost_food:emission_co2e_n2o_waso_compost_sludge:emission_co2e_n2o_waso_compost_yard
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,CH4,[5C] Incineración y quema a cielo abierto de residuos:CH4,emission_co2e_ch4_waso_incineration
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,CO2,[5C] Incineración y quema a cielo abierto de residuos:CO2,emission_co2e_co2_waso_incineration
waso,[5] Residuos,[5C] Incineración y quema a cielo abierto de residuos,N2O,[5C] Incineración y quema a cielo abierto de residuos:N2O,emission_co2e_n2o_waso_incineration
trww,[5] Residuos,[5D] Tratamiento y eliminación de aguas residuales,CH4,[5D] Tratamiento y eliminación de aguas residuales:CH4,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment:emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment:emission_co2e_ch4_trww_treated_latrine_improved_treatment:emission_co2e_ch4_trww_treated_latrine_unimproved_treatment:emission_co2e_ch4_trww_treated_primary_treatment:emission_co2e_ch4_trww_treated_secondary_aerobic_treatment:emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment:emission_co2e_ch4_trww_treated_septic_treatment:emission_co2e_ch4_trww_untreated_no_sewerage_treatment:emission_co2e_ch4_trww_untreated_with_sewerage_treatment
trww,[5] Residuos,[5D] Tratamiento y eliminación de aguas residuales,N2O,[5D] Tratamiento y eliminación de aguas residuales:N2O,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent:emission_co2e_n2o_trww_treated_advanced_aerobic_treatment:emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent:emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment:emission_co2e_n2o_trww_treated_latrine_improved_effluent:emission_co2e_n2o_trww_treated_latrine_improved_treatment:emission_co2e_n2o_trww_treated_latrine_unimproved_effluent:emission_co2e_n2o_trww_treated_latrine_unimproved_treatment:emission_co2e_n2o_trww_treated_primary_effluent:emission_co2e_n2o_trww_treated_primary_treatment:emission_co2e_n2o_trww_treated_secondary_aerobic_effluent:emission_co2e_n2o_trww_treated_secondary_aerobic_treatment:emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent:emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment:emission_co2e_n2o_trww_treated_septic_effluent:emission_co2e_n2o_trww_treated_septic_treatment:emission_co2e_n2o_trww_untreated_no_sewerage_effluent:emission_co2e_n2o_trww_untreated_no_sewerage_treatment:emission_co2e_n2o_trww_untreated_with_sewerage_effluent:emission_co2e_n2o_trww_untreated_with_sewerage_treatment
ccsq,[6] CCSQ,[6] CCSQ,CH4,[6] CCSQCH4,emission_co2e_ch4_ccsq_direct_air_capture
ccsq,[6] CCSQ,[6] CCSQ,CO2,[6] CCSQCO2,emission_co2e_co2_ccsq_direct_air_capture
ccsq,[6] CCSQ,[6] CCSQ,N2O,[6] CCSQN2O,emission_co2e_n2o_ccsq_direct_air_capture
