subsector_id,inventory_emission,ssp_emission,inventory_share,error,squared_error
entc - EN - Electricity/Heat:CH4,0.156112769,0.285766348,0.000244418,0.830512271,0.689750632
ippu - IN - Industrial Processes:HFC,0.751950825,0.118811238,0.001177291,0.841995989,0.708957246
scoe - EN - Building:CO2,33.64016419,5.205533979,0.052668697,0.845258366,0.714461705
fgtv - EN - Fugitive Emissions:N2O,0.071320744,0.009763544,0.000111663,0.863103611,0.744947843
ippu - IN - Industrial Processes:HFC,0.751950825,0.093424645,0.001177291,0.875756964,0.76695026
fgtv - EN - Fugitive Emissions:CO2,61.44151682,6.256880787,0.096195864,0.898165262,0.806700837
lsmm - AG - Livestock:N2O,1.719674942,0.059167518,0.002692408,0.965593772,0.932371333
lvst - AG - Livestock:CH4,44.01773834,1.150861442,0.068916338,0.973854598,0.948392779
waso - Waste - Solid Waste:CH4,60.03885316,0.588488573,0.093999785,0.990198204,0.980492483
scoe - EN - Building:N2O,1.020252312,0.003789435,0.001597357,0.996285777,0.992585349
lsmm - AG - Livestock:CH4,44.01773834,0.105390858,0.068916338,0.997605718,0.995217169
scoe - EN - Building:CH4,1.856098547,0.003290353,0.002905999,0.998227269,0.996457681
ippu - IN - Industrial Processes:HFC,0.751950825,5.26E-06,0.001177291,0.999992988,0.999985977
ippu - IN - Industrial Processes:HFC,0.751950825,9.05E-07,0.001177291,0.999998783,0.999997565
ippu - IN - Industrial Processes:HFC,0.751950825,4.73E-07,0.001177291,0.999999358,0.999998716
ippu - IN - Industrial Processes:HFC,0.751950825,4.13E-08,0.001177291,0.999999932,0.999999864
ippu - IN - Industrial Processes:HFC,0.751950825,7.05E-12,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
ippu - IN - Industrial Processes:HFC,0.751950825,0,0.001177291,0.999999987,0.999999973
inen - EN - Manufacturing/Construction:CH4,0.107179429,0.237168618,0.000167805,1.212818337,1.470928319
inen - EN - Manufacturing/Construction:N2O,0.170688779,0.400085378,0.000267239,1.343946489,1.806192166
lndu - LULUCF - Deforestation:CO2,21.674,87.94539167,0.033933882,3.057644719,9.349191227
ippu - IN - Industrial Processes:SF6,0.544237276,2.351193808,0.000852085,3.320163058,11.02348273
ippu - IN - Industrial Processes:HFC,0.751950825,5.896957705,0.001177291,6.842211804,46.81586238
ippu - IN - Industrial Processes:CH4,0.090519202,1.018051782,0.000141721,10.24680352,104.9969824
ippu - IN - Industrial Processes:HFC,0.751950825,8.940250289,0.001177291,10.88940803,118.5792073
ippu - IN - Industrial Processes:HFC,0.751950825,9.073370727,0.001177291,11.06644147,122.4661268
ippu - IN - Industrial Processes:HFC,0.751950825,25.16423282,0.001177291,32.46526349,1053.993334
waso - Waste - Solid Waste:CO2,0.499232624,18.40111254,0.000781623,35.85879347,1285.853069
ippu - UNACCOUNTED:NF3,0,4.77E-06,0,477.2413201,227759.2776
ippu - IN - Industrial Processes:PFC,0,0.47246782,0,47246782.05,2.23226E+15
lndu - LULUCF - Deforestation:CH4,0,0.855117265,0,85511726.47,7.31226E+15
frst - LULUCF - Forest Land:CH4,0,1.880314293,0,188031429.3,3.54E+16
soil - LULUCF - Organic Soil:CO2,0,7.59111631,0,759111631,5.76E+17
soil - LULUCF - Organic Soil:N2O,0,18.14853398,0,1814853398,3.29E+18
frst - LULUCF - HWP:CO2,0,-53.85928397,0,5385928397,2.90E+19
frst - LULUCF - Forest Land Removals:CO2,0,54.54241189,0,5454241189,2.97E+19
